Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Mexico,74.364,74.598,74.809,75.002,75.18,75.347,75.505,75.656,75.802,75.948,76.096,76.251,76.412,76.579,76.753,76.933,77.118
"Micronesia, Fed. Sts.",67.3,67.414,67.539,67.675,67.82,67.969,68.115,68.251,68.375,68.484,68.582,68.673,68.765,68.862,68.966,69.078,69.195
Moldova,67.006,67.185,67.362,67.521,67.665,67.82,68.022,68.302,68.671,69.119,69.616,70.117,70.577,70.961,71.258,71.468,71.61
Mongolia,62.869,63.319,63.777,64.23,64.671,65.104,65.539,65.987,66.449,66.92,67.383,67.82,68.215,68.558,68.847,69.087,69.287
Montenegro,73.228,73.23,73.277,73.355,73.465,73.62,73.834,74.116,74.462,74.858,75.28,75.7,76.089,76.43,76.712,76.938,77.116
Morocco,68.722,69.209,69.738,70.296,70.873,71.456,72.029,72.58,73.097,73.572,73.999,74.377,74.717,75.026,75.309,75.573,75.821
Mozambique,48.348,48.859,49.406,50.007,50.663,51.362,52.079,52.785,53.459,54.096,54.7,55.288,55.878,56.483,57.099,57.714,58.311
Myanmar,62.133,62.452,62.757,63.046,63.323,63.597,63.88,64.181,64.501,64.838,65.178,65.506,65.805,66.066,66.285,66.464,66.612
Namibia,55.608,54.798,54.145,53.693,53.48,53.563,53.983,54.712,55.697,56.883,58.189,59.527,60.815,61.982,62.981,63.782,64.388
Nepal,62.386,63.082,63.745,64.376,64.973,65.537,66.066,66.565,67.036,67.484,67.914,68.329,68.732,69.126,69.511,69.887,70.253
Netherlands,77.98780488,78.1902439,78.29268293,78.49268293,79.09512195,79.34634146,79.69756098,80.09756098,80.25121951,80.54878049,80.70243902,81.20487805,81.10487805,81.30487805,81.70731707,81.5097561,81.5097561
New Caledonia,75.16341463,74.83170732,75.10243902,75.27073171,75.47073171,75.72195122,76.07560976,76.47804878,76.6804878,76.9804878,77.25912213,76.64683538,77.06907036,77.17621087,77.2528726,77.24430351,76.96150074
New Zealand,78.63658537,78.69268293,78.84634146,79.14634146,79.54878049,79.85121951,80.04878049,80.15121951,80.35121951,80.70243902,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805,81.45682927,81.61243902
Nicaragua,69.742,70.214,70.675,71.117,71.537,71.935,72.313,72.677,73.028,73.369,73.699,74.016,74.319,74.608,74.884,75.149,75.404
Niger,49.874,50.494,51.123,51.77,52.436,53.127,53.849,54.593,55.35,56.105,56.838,57.528,58.16,58.727,59.228,59.667,60.058
Nigeria,46.266,46.509,46.834,47.24,47.717,48.246,48.802,49.356,49.887,50.385,50.847,51.279,51.699,52.121,52.549,52.985,53.428
Norway,78.63414634,78.78536585,78.98780488,79.3902439,79.84146341,80.04146341,80.34390244,80.39512195,80.59268293,80.79512195,80.99756098,81.29512195,81.45121951,81.75121951,82.1,82.30487805,82.5097561
Oman,72.126,72.58,73.022,73.447,73.851,74.231,74.58,74.898,75.188,75.451,75.694,75.922,76.141,76.358,76.578,76.801,77.029
Pakistan,62.727,62.967,63.196,63.414,63.625,63.836,64.06,64.303,64.565,64.845,65.134,65.419,65.686,65.927,66.139,66.322,66.481
Panama,75.084,75.267,75.443,75.614,75.782,75.947,76.114,76.285,76.46,76.641,76.828,77.021,77.216,77.413,77.61,77.806,78.001
Papua New Guinea,61.832,62.139,62.458,62.784,63.113,63.433,63.733,64.006,64.247,64.455,64.634,64.791,64.937,65.082,65.23,65.384,65.544
Paraguay,70.07,70.335,70.593,70.838,71.067,71.281,71.485,71.686,71.887,72.089,72.285,72.47,72.638,72.786,72.913,73.023,73.12
Peru,70.512,70.964,71.389,71.784,72.146,72.473,72.764,73.023,73.258,73.475,73.681,73.883,74.088,74.298,74.518,74.747,74.983
Philippines,67.17,67.308,67.434,67.555,67.67,67.783,67.892,68,68.105,68.211,68.32,68.433,68.553,68.68,68.813,68.951,69.094
Poland,73.74878049,74.2,74.49756098,74.59756098,74.84634146,74.99512195,75.14390244,75.24390244,75.54390244,75.69512195,76.24634146,76.69512195,76.74634146,77,77.60243902,77.45121951,77.45121951
Portugal,76.31463415,76.81463415,77.06585366,77.2195122,77.67073171,78.07073171,78.4195122,78.32195122,78.52439024,78.72682927,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122,81.12439024,81.12682927
Puerto Rico,76.68926829,77.06682927,77.7604878,78.07121951,78.17585366,78.29609756,78.41634146,78.42585366,77.9034878,78.14980488,78.40817073,78.67119512,78.92641463,79.16739024,79.39012195,79.59612195,79.78831707
Qatar,76.279,76.387,76.488,76.581,76.668,76.754,76.843,76.94,77.049,77.169,77.301,77.443,77.59,77.739,77.888,78.036,78.184
Romania,71.16341463,71.16097561,71.0097561,71.3097561,71.59427561,71.87889512,72.16341463,72.56585366,72.56585366,73.3097561,73.45853659,74.4097561,74.41219512,75.06341463,74.96097561,75.01219512,75.01219512
Russian Federation,65.48365854,65.38341463,65.12878049,65.04780488,65.47097561,65.5297561,66.72756098,67.58682927,67.94926829,68.68463415,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,71.16829268,71.59292683
Rwanda,48.415,49.793,50.97,52.268,53.755,55.43,57.219,58.971,60.565,61.962,63.14,64.106,64.911,65.598,66.188,66.696,67.129
Samoa,69.305,69.637,69.97,70.314,70.673,71.051,71.451,71.866,72.288,72.71,73.122,73.513,73.875,74.206,74.504,74.77,75.013
Sao Tome and Principe,63.338,63.526,63.754,64.021,64.322,64.641,64.956,65.248,65.5,65.709,65.875,66.008,66.125,66.241,66.361,66.488,66.624
Saudi Arabia,72.44,72.651,72.82,72.948,73.041,73.112,73.176,73.245,73.331,73.44,73.574,73.73,73.896,74.066,74.234,74.4,74.561
Senegal,57.796,58.18,58.665,59.23,59.859,60.541,61.263,62.008,62.755,63.485,64.177,64.814,65.393,65.914,66.376,66.784,67.146
Serbia,71.58292683,72.23414634,72.28536585,72.43658537,72.68292683,72.83414634,73.38536585,73.63170732,73.88536585,73.98536585,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,75.28780488,75.23902439
Seychelles,72.77804878,73.25365854,71.08780488,71.02926829,72.66097561,72.13170732,72.21707317,73.14390244,73.16341463,73.08292683,73.19756098,72.72439024,74.27560976,73.1195122,73.22926829,74.29512195,74.3097561
Sierra Leone,38.702,39.66,40.66,41.669,42.66,43.624,44.566,45.5,46.432,47.348,48.224,49.034,49.762,50.401,50.951,51.423,51.835
Singapore,77.95121951,78.25121951,78.55121951,79.03902439,79.4902439,79.9902439,80.14146341,80.44146341,80.7902439,81.24146341,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,82.74390244,82.79512195
Slovak Republic,73.05121951,73.40243902,73.60487805,73.60487805,73.95853659,73.90487805,74.20487805,74.20731707,74.70487805,74.9097561,75.11219512,75.95853659,76.1097561,76.41219512,76.81219512,76.56341463,76.56341463
Slovenia,75.41219512,75.75853659,76.00731707,76.85853659,77.20731707,77.61219512,78.08658537,78.56097561,78.76585366,78.97073171,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,80.77560976,80.77560976
Solomon Islands,63.103,63.744,64.368,64.971,65.549,66.104,66.635,67.147,67.641,68.118,68.572,69.001,69.4,69.771,70.113,70.43,70.726
Somalia,50.867,51.211,51.49,51.761,52.042,52.344,52.666,52.996,53.323,53.652,53.986,54.332,54.694,55.072,55.467,55.876,56.293
South Africa,56.341,55.273,54.299,53.481,52.878,52.567,52.614,53.01,53.72,54.701,55.888,57.201,58.545,59.83,60.993,61.981,62.774
South Sudan,49.239,49.631,50.013,50.393,50.782,51.19,51.627,52.095,52.591,53.113,53.655,54.206,54.756,55.294,55.817,56.322,56.811
Spain,78.96585366,79.36829268,79.56829268,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,82.83170732
Sri Lanka,71.002,71.775,72.511,73.128,73.593,73.896,74.059,74.144,74.207,74.27,74.352,74.462,74.593,74.741,74.906,75.088,75.284
St. Lucia,71.456,71.676,71.958,72.287,72.652,73.028,73.393,73.728,74.02,74.265,74.465,74.633,74.788,74.947,75.117,75.3,75.496
St. Martin (French part),76.97073171,77.17073171,77.37073171,77.57073171,77.72195122,77.87073171,78.07073171,78.22195122,78.37073171,78.57073171,78.72195122,78.87073171,79.02195122,79.17073171,79.32195122,79.47073171,79.62195122
St. Vincent and the Grenadines,70.593,70.635,70.719,70.846,71.014,71.218,71.446,71.683,71.914,72.13,72.327,72.501,72.657,72.802,72.935,73.06,73.179
Sudan,58.43,58.801,59.184,59.582,59.993,60.416,60.854,61.3,61.749,62.193,62.62,63.019,63.384,63.712,64.002,64.257,64.486
Suriname,67.838,67.918,68.051,68.239,68.48,68.768,69.089,69.422,69.749,70.057,70.335,70.578,70.79,70.976,71.138,71.279,71.405
